Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
MCD 11/26/2021 00:00:00 EST Call $265.00,MCD 11/26/2021 00:00:00 EST Call $265.00,Sell,Cancelled,0,21,@0.400,,DAY,11/09/2021 09:46:16 EST,
MCD 11/26/2021 00:00:00 EST Call $265.00,MCD 11/26/2021 00:00:00 EST Call $265.00,Sell,Cancelled,0,20,@0.630,,DAY,11/08/2021 09:33:36 EST,
MCD 11/26/2021 00:00:00 EST Call $265.00,MCD 11/26/2021 00:00:00 EST Call $265.00,Buy,Filled,11,11,@0.580,0.580,DAY,11/04/2021 14:04:18 EDT,11/04/2021 14:04:45 EDT
MCD 11/26/2021 00:00:00 EST Call $265.00,MCD 11/26/2021 00:00:00 EST Call $265.00,Buy,Filled,10,10,@0.600,0.600,DAY,11/04/2021 13:31:39 EDT,11/04/2021 13:31:46 EDT
KO 11/26/2021 00:00:00 EST Call $58.00,KO 11/26/2021 00:00:00 EST Call $58.00,Buy,Cancelled,0,75,@0.170,,DAY,11/03/2021 14:43:22 EDT,
AAPL 11/12/2021 00:00:00 EST Call $150.00,AAPL 11/12/2021 00:00:00 EST Call $150.00,Sell,Filled,5,5,@2.30,2.30,DAY,11/02/2021 10:41:13 EDT,11/02/2021 10:41:29 EDT
AAPL 11/12/2021 00:00:00 EST Call $150.00,AAPL 11/12/2021 00:00:00 EST Call $150.00,Buy,Filled,5,5,@1.88,1.88,DAY,10/29/2021 11:57:21 EDT,10/29/2021 11:57:36 EDT
CVS 11/05/2021 00:00:00 EDT Call $95.00,CVS 11/05/2021 00:00:00 EDT Call $95.00,Sell,Filled,43,43,@0.250,0.250,DAY,10/28/2021 11:16:48 EDT,10/28/2021 11:16:49 EDT
CVS 11/05/2021 00:00:00 EDT Call $95.00,CVS 11/05/2021 00:00:00 EDT Call $95.00,Buy,Filled,43,43,@0.380,0.380,DAY,10/25/2021 09:47:56 EDT,10/25/2021 09:50:39 EDT
CVS 10/29/2021 00:00:00 EDT Call $89.00,CVS 10/29/2021 00:00:00 EDT Call $89.00,Sell,Filled,15,15,0.360,0.360,DAY,10/21/2021 10:17:12 EDT,10/21/2021 10:17:12 EDT
CVS 10/29/2021 00:00:00 EDT Call $89.00,CVS 10/29/2021 00:00:00 EDT Call $89.00,Buy,Cancelled,15,25,@0.320,0.320,DAY,10/21/2021 10:12:35 EDT,10/21/2021 10:12:40 EDT
TGT 10/22/2021 00:00:00 EDT Call $260.00,TGT 10/22/2021 00:00:00 EDT Call $260.00,Sell,Filled,87,87,0.1713,0.1713,DAY,10/21/2021 10:10:16 EDT,10/21/2021 10:10:17 EDT
TGT 10/22/2021 00:00:00 EDT Call $260.00,TGT 10/22/2021 00:00:00 EDT Call $260.00,Sell,Cancelled,0,87,@0.200,,DAY,10/21/2021 10:04:39 EDT,
TGT 10/22/2021 00:00:00 EDT Call $260.00,TGT 10/22/2021 00:00:00 EDT Call $260.00,Buy,Filled,87,87,@0.210,0.210,DAY,10/21/2021 10:02:54 EDT,10/21/2021 10:02:55 EDT
FDX 10/29/2021 00:00:00 EDT Call $247.50,FDX 10/29/2021 00:00:00 EDT Call $247.50,Sell,Filled,26,26,@0.400,0.400,DAY,10/21/2021 09:56:46 EDT,10/21/2021 09:59:25 EDT
FDX 10/29/2021 00:00:00 EDT Call $247.50,FDX 10/29/2021 00:00:00 EDT Call $247.50,Buy,Filled,26,26,@0.590,0.590,DAY,10/20/2021 15:36:56 EDT,10/20/2021 15:37:33 EDT
FDX 10/29/2021 00:00:00 EDT Call $247.50,FDX 10/29/2021 00:00:00 EDT Call $247.50,Buy,Cancelled,0,29,@0.530,,DAY,10/20/2021 15:35:35 EDT,
AAPL 10/29/2021 00:00:00 EDT Call $155.00,AAPL 10/29/2021 00:00:00 EDT Call $155.00,Sell,Filled,37,37,@0.650,0.650,DAY,10/20/2021 15:33:22 EDT,10/20/2021 15:33:31 EDT
AAPL 10/29/2021 00:00:00 EDT Call $155.00,AAPL 10/29/2021 00:00:00 EDT Call $155.00,Buy,Filled,37,37,@0.790,0.790,DAY,10/20/2021 11:31:39 EDT,10/20/2021 11:35:58 EDT
CEI 11/19/2021 00:00:00 EST Call $2.50,CEI 11/19/2021 00:00:00 EST Call $2.50,Buy,Cancelled,0,35,@0.300,,DAY,10/20/2021 11:14:08 EDT,
EBAY 10/22/2021 00:00:00 EDT Call $78.00,EBAY 10/22/2021 00:00:00 EDT Call $78.00,Sell,Filled,50,50,@0.210,0.210,DAY,10/20/2021 11:02:51 EDT,10/20/2021 11:02:52 EDT
EBAY 10/22/2021 00:00:00 EDT Call $78.00,EBAY 10/22/2021 00:00:00 EDT Call $78.00,Buy,Filled,50,50,@0.250,0.250,DAY,10/20/2021 10:49:51 EDT,10/20/2021 11:00:14 EDT
CEI 10/29/2021 00:00:00 EDT Call $2.50,CEI 10/29/2021 00:00:00 EDT Call $2.50,Buy,Cancelled,0,67,@0.150,,DAY,10/20/2021 10:03:45 EDT,
FCEL 11/05/2021 00:00:00 EDT Call $7.00,FCEL 11/05/2021 00:00:00 EDT Call $7.00,Sell,Filled,16,16,@1.94,1.94,DAY,10/18/2021 14:50:03 EDT,10/18/2021 15:33:46 EDT
FCEL 11/05/2021 00:00:00 EDT Call $7.00,FCEL 11/05/2021 00:00:00 EDT Call $7.00,Buy,Filled,1,1,@0.830,0.830,DAY,10/15/2021 15:36:58 EDT,10/15/2021 15:51:11 EDT
FCEL 11/05/2021 00:00:00 EDT Call $7.00,FCEL 11/05/2021 00:00:00 EDT Call $7.00,Buy,Filled,15,15,@0.850,0.850,DAY,10/15/2021 15:33:26 EDT,10/15/2021 15:35:09 EDT
CEI 11/05/2021 00:00:00 EDT Call $2.00,CEI 11/05/2021 00:00:00 EDT Call $2.00,Buy,Cancelled,0,2,@0.200,,DAY,10/15/2021 15:23:07 EDT,
CYCN 10/15/2021 00:00:00 EDT Call $5.00,CYCN 10/15/2021 00:00:00 EDT Call $5.00,Sell,Cancelled,0,25,@0.050,,GTC,10/12/2021 14:26:46 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Sell,Cancelled,0,3,@0.050,,GTC,10/12/2021 14:26:30 EDT,
EAR 10/15/2021 00:00:00 EDT Call $10.00,EAR 10/15/2021 00:00:00 EDT Call $10.00,Sell,Cancelled,10,16,@0.050,0.050,GTC,10/12/2021 14:25:52 EDT,10/12/2021 14:28:32 EDT
CYCN 10/15/2021 00:00:00 EDT Call $5.00,CYCN 10/15/2021 00:00:00 EDT Call $5.00,Sell,Cancelled,0,25,@0.050,,DAY,10/11/2021 09:35:11 EDT,
EAR 10/15/2021 00:00:00 EDT Call $10.00,EAR 10/15/2021 00:00:00 EDT Call $10.00,Sell,Cancelled,0,16,@0.050,,DAY,10/11/2021 09:34:51 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Sell,Cancelled,0,3,@0.050,,DAY,10/11/2021 09:33:58 EDT,
EAR 10/15/2021 00:00:00 EDT Call $10.00,EAR 10/15/2021 00:00:00 EDT Call $10.00,Buy,Filled,9,9,@0.500,0.500,DAY,09/24/2021 11:59:58 EDT,09/24/2021 12:23:14 EDT
ZEV 10/15/2021 00:00:00 EDT Call $15.00,ZEV 10/15/2021 00:00:00 EDT Call $15.00,Sell,Cancelled,0,9,@0.100,,GTC,09/24/2021 11:58:55 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Sell,Cancelled,0,3,@0.100,,DAY,09/24/2021 11:53:44 EDT,
EAR 10/15/2021 00:00:00 EDT Call $10.00,EAR 10/15/2021 00:00:00 EDT Call $10.00,Buy,Cancelled,7,16,@0.500,0.500,DAY,09/24/2021 11:25:19 EDT,09/24/2021 11:29:37 EDT
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Buy,Filled,3,3,@0.800,0.800,DAY,09/20/2021 11:23:57 EDT,09/20/2021 11:39:45 EDT
CYCN 10/15/2021 00:00:00 EDT Call $5.00,CYCN 10/15/2021 00:00:00 EDT Call $5.00,Buy,Cancelled,0,52,@0.050,,DAY,09/20/2021 11:06:25 EDT,
CYCN 10/15/2021 00:00:00 EDT Call $5.00,CYCN 10/15/2021 00:00:00 EDT Call $5.00,Buy,Cancelled,0,52,@0.050,,DAY,09/20/2021 10:08:47 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Buy,Cancelled,0,3,@0.800,,DAY,09/20/2021 09:35:22 EDT,
CYCN 10/15/2021 00:00:00 EDT Call $5.00,CYCN 10/15/2021 00:00:00 EDT Call $5.00,Buy,Cancelled,0,17,@0.150,,GTC,09/17/2021 16:39:13 EDT,
CYCN 10/15/2021 00:00:00 EDT Call $5.00,CYCN 10/15/2021 00:00:00 EDT Call $5.00,Buy,Cancelled,25,42,@0.150,0.150,DAY,09/17/2021 15:01:03 EDT,09/17/2021 15:58:30 EDT
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Buy,Cancelled,0,7,@0.900,,DAY,09/17/2021 14:57:50 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Sell,Filled,6,6,@0.900,0.900,DAY,09/17/2021 13:37:28 EDT,09/17/2021 14:33:05 EDT
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Sell,Cancelled,0,6,@1.40,,DAY,09/17/2021 12:10:02 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Sell,Cancelled,0,6,@1.60,,DAY,09/17/2021 11:06:59 EDT,
TMC 10/15/2021 00:00:00 EDT Call $20.00,TMC 10/15/2021 00:00:00 EDT Call $20.00,Buy,Filled,6,6,@1.50,1.50,DAY,09/17/2021 10:54:06 EDT,09/17/2021 11:04:17 EDT
WM 09/17/2021 00:00:00 EDT Call $160.00,WM 09/17/2021 00:00:00 EDT Call $160.00,Sell,Filled,5,5,@0.100,0.100,DAY,09/13/2021 09:48:41 EDT,09/13/2021 09:51:26 EDT
ZEV 10/15/2021 00:00:00 EDT Call $15.00,ZEV 10/15/2021 00:00:00 EDT Call $15.00,Buy,Filled,9,9,@0.350,0.350,GTC,09/10/2021 14:24:16 EDT,09/10/2021 15:18:26 EDT
WM 09/17/2021 00:00:00 EDT Call $160.00,WM 09/17/2021 00:00:00 EDT Call $160.00,Sell,Cancelled,0,5,@0.250,,DAY,09/10/2021 14:04:02 EDT,
WM 09/17/2021 00:00:00 EDT Call $160.00,WM 09/17/2021 00:00:00 EDT Call $160.00,Buy,Cancelled,5,21,@0.200,0.200,GTC,09/10/2021 12:39:25 EDT,09/10/2021 13:43:16 EDT
WKEY 09/17/2021 00:00:00 EDT Call $10.00,WKEY 09/17/2021 00:00:00 EDT Call $10.00,Sell,Filled,4,4,@1.05,1.05,DAY,09/09/2021 10:00:35 EDT,09/09/2021 10:23:22 EDT
WKEY 09/17/2021 00:00:00 EDT Call $10.00,WKEY 09/17/2021 00:00:00 EDT Call $10.00,Sell,Cancelled,0,4,@0.700,,GTC,09/08/2021 15:51:59 EDT,
WKEY 09/17/2021 00:00:00 EDT Call $10.00,WKEY 09/17/2021 00:00:00 EDT Call $10.00,Buy,Filled,4,4,@0.600,0.600,DAY,09/08/2021 12:39:10 EDT,09/08/2021 13:30:03 EDT
IVR 08/06/2021 00:00:00 EDT Call $4.00,IVR 08/06/2021 00:00:00 EDT Call $4.00,Sell,Cancelled,0,6,@0.010,,DAY,08/06/2021 14:52:43 EDT,
IVR 08/06/2021 00:00:00 EDT Call $4.00,IVR 08/06/2021 00:00:00 EDT Call $4.00,Buy,Filled,6,6,@0.060,0.060,DAY,07/21/2021 09:46:19 EDT,07/21/2021 10:05:55 EDT
SDC 07/16/2021 00:00:00 EDT Call $10.00,SDC 07/16/2021 00:00:00 EDT Call $10.00,Sell,Cancelled,0,10,@0.010,,DAY,07/16/2021 13:19:00 EDT,
MRIN 07/16/2021 00:00:00 EDT Call $30.00,MRIN 07/16/2021 00:00:00 EDT Call $30.00,Buy,Cancelled,0,1,@0.500,,DAY,07/13/2021 09:40:40 EDT,
SDC 07/16/2021 00:00:00 EDT Call $10.00,SDC 07/16/2021 00:00:00 EDT Call $10.00,Sell,Cancelled,0,10,@0.020,,DAY,07/13/2021 09:36:55 EDT,
WBA 07/23/2021 00:00:00 EDT Call $50.00,WBA 07/23/2021 00:00:00 EDT Call $50.00,Sell,Filled,2,2,@0.230,0.230,DAY,07/12/2021 11:14:33 EDT,07/12/2021 11:22:05 EDT
SDC 07/16/2021 00:00:00 EDT Call $10.00,SDC 07/16/2021 00:00:00 EDT Call $10.00,Sell,Cancelled,0,10,@0.040,,DAY,07/12/2021 09:38:38 EDT,
WBA 07/23/2021 00:00:00 EDT Call $50.00,WBA 07/23/2021 00:00:00 EDT Call $50.00,Buy,Filled,2,2,@0.200,0.200,DAY,07/12/2021 09:37:11 EDT,07/12/2021 10:56:54 EDT
GLOP 07/16/2021 00:00:00 EDT Call $7.50,GLOP 07/16/2021 00:00:00 EDT Call $7.50,Sell,Filled,1,1,@0.050,0.050,GTC,07/06/2021 14:06:21 EDT,07/07/2021 10:00:02 EDT
GLOP 07/16/2021 00:00:00 EDT Call $7.50,GLOP 07/16/2021 00:00:00 EDT Call $7.50,Buy,Filled,1,1,@0.200,0.200,DAY,07/06/2021 13:32:12 EDT,07/06/2021 13:56:55 EDT
SDC 07/16/2021 00:00:00 EDT Call $10.00,SDC 07/16/2021 00:00:00 EDT Call $10.00,Buy,Cancelled,0,2,@0.090,,DAY,07/02/2021 11:37:07 EDT,
SDC 07/16/2021 00:00:00 EDT Call $10.00,SDC 07/16/2021 00:00:00 EDT Call $10.00,Buy,Filled,10,10,@0.330,0.330,DAY,06/24/2021 11:03:49 EDT,06/24/2021 11:10:58 EDT
XL 07/16/2021 00:00:00 EDT Call $11.00,XL 07/16/2021 00:00:00 EDT Call $11.00,Buy,Cancelled,0,10,@0.350,,GTC,06/24/2021 09:39:11 EDT,
GOLD 07/09/2021 00:00:00 EDT Call $22.50,GOLD 07/09/2021 00:00:00 EDT Call $22.50,Buy,Cancelled,0,10,@0.150,,GTC,06/18/2021 21:21:57 EDT,
WISH 06/18/2021 00:00:00 EDT Call $12.50,WISH 06/18/2021 00:00:00 EDT Call $12.50,Buy,Cancelled,0,15,@0.100,,DAY,06/18/2021 10:47:05 EDT,
AHT 07/16/2021 00:00:00 EDT Call $7.50,AHT 07/16/2021 00:00:00 EDT Call $7.50,Buy,Cancelled,0,3,@0.500,,GTC,06/17/2021 13:47:37 EDT,
ITUB 07/16/2021 00:00:00 EDT Call $7.00,ITUB 07/16/2021 00:00:00 EDT Call $7.00,Sell,Filled,5,5,@0.280,0.280,DAY,06/16/2021 12:58:58 EDT,06/16/2021 13:00:31 EDT
ITUB 07/16/2021 00:00:00 EDT Call $7.00,ITUB 07/16/2021 00:00:00 EDT Call $7.00,Buy,Filled,5,5,@0.220,0.220,DAY,06/16/2021 12:17:22 EDT,06/16/2021 12:17:59 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Sell,Filled,5,5,@0.200,0.200,DAY,06/16/2021 10:30:08 EDT,06/16/2021 10:32:40 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Sell,Cancelled,0,5,@0.350,,DAY,06/16/2021 10:06:36 EDT,
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Sell,Cancelled,0,5,@0.400,,DAY,06/16/2021 09:51:00 EDT,
IVR 06/18/2021 00:00:00 EDT Call $5.00,IVR 06/18/2021 00:00:00 EDT Call $5.00,Sell,Filled,3,3,@0.060,0.060,DAY,06/16/2021 09:43:30 EDT,06/16/2021 09:43:31 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Buy,Filled,2,2,@0.500,0.500,DAY,06/15/2021 12:50:32 EDT,06/15/2021 13:47:42 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Sell,Cancelled,0,3,@1.00,,DAY,06/15/2021 12:49:31 EDT,
INTC 06/25/2021 00:00:00 EDT Call $62.00,INTC 06/25/2021 00:00:00 EDT Call $62.00,Sell,Filled,2,2,@0.180,0.180,DAY,06/15/2021 12:48:10 EDT,06/15/2021 12:48:19 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Buy,Cancelled,0,1,@0.500,,DAY,06/15/2021 11:46:06 EDT,
BLUE 07/16/2021 00:00:00 EDT Call $45.00,BLUE 07/16/2021 00:00:00 EDT Call $45.00,Sell,Filled,1,1,@0.600,0.600,DAY,06/15/2021 10:31:44 EDT,06/15/2021 10:57:09 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Sell,Cancelled,0,3,@0.900,,DAY,06/15/2021 10:29:23 EDT,
INTC 06/25/2021 00:00:00 EDT Call $62.00,INTC 06/25/2021 00:00:00 EDT Call $62.00,Buy,Filled,2,2,@0.130,0.130,DAY,06/15/2021 09:50:13 EDT,06/15/2021 10:05:36 EDT
TR 06/18/2021 00:00:00 EDT Call $40.00,TR 06/18/2021 00:00:00 EDT Call $40.00,Buy,Filled,3,3,@0.700,0.700,DAY,06/15/2021 09:37:12 EDT,06/15/2021 10:13:00 EDT
INTC 06/18/2021 00:00:00 EDT Call $60.00,INTC 06/18/2021 00:00:00 EDT Call $60.00,Buy,Cancelled,0,8,@0.120,,DAY,06/14/2021 15:58:45 EDT,
Z 06/18/2021 00:00:00 EDT Call $120.00,Z 06/18/2021 00:00:00 EDT Call $120.00,Sell,Filled,2,2,@0.610,0.610,DAY,06/14/2021 15:54:24 EDT,06/14/2021 15:54:24 EDT
IVR 06/18/2021 00:00:00 EDT Call $5.00,IVR 06/18/2021 00:00:00 EDT Call $5.00,Buy,Filled,3,3,@0.170,0.170,DAY,06/14/2021 11:11:17 EDT,06/14/2021 11:19:17 EDT
IVR 06/18/2021 00:00:00 EDT Call $5.00,IVR 06/18/2021 00:00:00 EDT Call $5.00,Buy,Cancelled,0,4,@0.150,,DAY,06/14/2021 11:08:35 EDT,
BLUE 07/16/2021 00:00:00 EDT Call $45.00,BLUE 07/16/2021 00:00:00 EDT Call $45.00,Buy,Filled,1,1,@1.35,1.35,DAY,06/14/2021 10:21:02 EDT,06/14/2021 10:23:27 EDT
Z 06/18/2021 00:00:00 EDT Call $120.00,Z 06/18/2021 00:00:00 EDT Call $120.00,Buy,Filled,1,1,@0.930,0.930,DAY,06/14/2021 09:51:18 EDT,06/14/2021 09:52:46 EDT
Z 06/18/2021 00:00:00 EDT Call $120.00,Z 06/18/2021 00:00:00 EDT Call $120.00,Buy,Filled,1,1,@1.20,1.20,DAY,06/14/2021 09:42:10 EDT,06/14/2021 09:42:15 EDT
